2026-02-01 22:03:24.268 [INFO] [EVT] Session Started
2026-02-01 22:03:24.268 [INFO] [EVT] Client Connected: ('127.0.0.1', 59106)
2026-02-01 22:03:24.268 [INFO] [CMD ] Inquiry                   | CDB: 12 00 00 00 24 00    | DATA: [Empty] -> Status=0
2026-02-01 22:03:28.638 [LOG ] [RES ] WriteLUT                  | CDB: E0 00 00 00 00 00 00 00 00 00 | DATA: 01 82 00 00 04 00 40 B7 4A 45 4F 4C 20 20 20 20 ... -> Status=1
2026-02-01 22:03:28.681 [LOG ] [CMD ] WriteLUT                  | CDB: E0 00 01 00 00 00 00 00 00 00 | DATA: [Empty] -> Status=0
2026-02-01 22:03:28.752 [LOG ] [RES ] WriteLUT                  | CDB: E0 00 01 00 00 00 00 00 00 00 | DATA: 01 82 00 00 04 00 40 B7 4A 45 4F 4C 20 20 20 20 ... -> Status=1
2026-02-01 22:03:28.794 [INFO] [CMD ] LegacyPassthrough_C3      | CDB: C3 00 00 00 02 00    | DATA: [Empty] -> Status=0
2026-02-01 22:03:28.796 [INFO] [RES ] LegacyPassthrough_C3      | CDB: C3 00 00 00 02 00    | DATA: 01 82 00 00 04 00 40 B7 4A 45 4F 4C 20 20 20 20 ... -> Status=1
2026-02-01 22:03:28.879 [INFO] [CMD ] LegacyPassthrough_C3      | CDB: C3 00 00 00 02 00    | DATA: [Empty] -> Status=0
2026-02-01 22:03:28.880 [INFO] [RES ] LegacyPassthrough_C3      | CDB: C3 00 00 00 02 00    | DATA: 01 82 00 00 04 00 40 B7 4A 45 4F 4C 20 20 20 20 ... -> Status=1
2026-02-01 22:03:28.965 [INFO] [CMD ] LegacyPassthrough_C3      | CDB: C3 00 00 00 02 00    | DATA: [Empty] -> Status=0
2026-02-01 22:03:28.966 [INFO] [RES ] LegacyPassthrough_C3      | CDB: C3 00 00 00 02 00    | DATA: 01 82 00 00 04 00 40 B7 4A 45 4F 4C 20 20 20 20 ... -> Status=1
2026-02-01 22:03:29.051 [INFO] [CMD ] LegacyPassthrough_C3      | CDB: C3 00 00 00 02 00    | DATA: [Empty] -> Status=0
2026-02-01 22:03:29.052 [INFO] [RES ] LegacyPassthrough_C3      | CDB: C3 00 00 00 02 00    | DATA: 01 82 00 00 04 00 40 B7 4A 45 4F 4C 20 20 20 20 ... -> Status=1
2026-02-01 22:03:29.141 [LOG ] [CMD ] Generic10_Wrapper         | CDB: FA 00 00 00 00 00 00 00 06 00 | DATA: [Empty] -> Status=0
2026-02-01 22:03:29.143 [LOG ] [RES ] FA_Response               | CDB: FA 00 00 00 00 00 00 00 06 00 | DATA: 01 82 00 00 04 00 40 B7 4A 45 4F 4C 20 20 20 20 ... -> Status=1
2026-02-01 22:03:29.227 [LOG ] [CMD ] GetAfcValue               | CDB: C8 70 00 00 04 00    | DATA: [Empty] -> Status=0
2026-02-01 22:03:29.228 [LOG ] [RES ] GetAfcValue               | CDB: C8 70 00 00 04 00    | DATA: 01 70 08 00 04 00 00 00 4A 45 4F 4C 20 20 20 20 ... -> Status=1
2026-02-01 22:03:29.311 [LOG ] [CMD ] GetOLCrs                  | CDB: C8 32 00 00 04 00    | DATA: [Empty] -> Status=0
2026-02-01 22:03:29.312 [LOG ] [RES ] GetOLCrs                  | CDB: C8 32 00 00 04 00    | DATA: 01 32 09 7E 04 00 40 B7 4A 45 4F 4C 20 20 20 20 ... -> Status=1
2026-02-01 22:03:29.403 [LOG ] [CMD ] GetALS                    | CDB: C4 03 00 00 04 00    | DATA: [Empty] -> Status=0
2026-02-01 22:03:29.404 [LOG ] [RES ] GetALS                    | CDB: C4 03 00 00 04 00    | DATA: 00 00 00 00 04 00 40 B7 4A 45 4F 4C 20 20 20 20 ... -> Status=1
2026-02-01 22:03:29.486 [LOG ] [CMD ] GetALS                    | CDB: C4 03 00 00 04 00    | DATA: [Empty] -> Status=0
2026-02-01 22:03:29.487 [LOG ] [RES ] GetALS                    | CDB: C4 03 00 00 04 00    | DATA: 00 00 00 00 04 00 40 B7 4A 45 4F 4C 20 20 20 20 ... -> Status=1
2026-02-01 22:03:29.588 [LOG ] [CMD ] Generic10_Wrapper         | CDB: FA 00 00 00 00 00 00 00 06 00 | DATA: [Empty] -> Status=0
2026-02-01 22:03:29.590 [LOG ] [RES ] FA_Response               | CDB: FA 00 00 00 00 00 00 00 06 00 | DATA: 00 00 00 00 04 00 40 B7 4A 45 4F 4C 20 20 20 20 ... -> Status=1
2026-02-01 22:03:29.683 [LOG ] [CMD ] Generic10_Wrapper         | CDB: FA 00 00 00 00 00 00 00 0C 00 | DATA: [Empty] -> Status=0
2026-02-01 22:03:29.685 [LOG ] [RES ] FA_Response               | CDB: FA 00 00 00 00 00 00 00 0C 00 | DATA: 00 00 00 00 04 00 40 B7 4A 45 4F 4C 20 20 20 20 ... -> Status=1
2026-02-01 22:03:29.784 [LOG ] [CMD ] Generic10_Wrapper         | CDB: FA 00 00 00 00 00 00 00 08 00 | DATA: [Empty] -> Status=0
2026-02-01 22:03:29.784 [LOG ] [RES ] FA_Response               | CDB: FA 00 00 00 00 00 00 00 08 00 | DATA: 00 00 00 00 04 00 40 B7 4A 45 4F 4C 20 20 20 20 ... -> Status=1
2026-02-01 22:03:29.890 [LOG ] [CMD ] Generic10_Wrapper         | CDB: FA 00 00 00 00 00 00 00 08 00 | DATA: [Empty] -> Status=0
2026-02-01 22:03:29.891 [LOG ] [RES ] FA_Response               | CDB: FA 00 00 00 00 00 00 00 08 00 | DATA: 00 00 00 00 04 00 40 B7 4A 45 4F 4C 20 20 20 20 ... -> Status=1
2026-02-01 22:03:29.981 [LOG ] [CMD ] Generic10_Wrapper         | CDB: FA 00 00 00 00 00 00 00 08 00 | DATA: [Empty] -> Status=0
2026-02-01 22:03:29.983 [LOG ] [RES ] FA_Response               | CDB: FA 00 00 00 00 00 00 00 08 00 | DATA: 00 00 00 00 04 00 40 B7 4A 45 4F 4C 20 20 20 20 ... -> Status=1
